Nome,Troféus,Doações
Flaviok3rp,7715,157
✌Ctrl+C✌,8044,102
DeltaFlick,7500,81
Everton,6003,75
SOLDI3R GHOST,9085,51
JB♧♤,7614,46
GABRYELL,8827,44
dudin x sosal,7196,44
vtavares,8550,42
Kaylane Silva,9185,36
jv.amaral,6503,35
Guilherme,5852,34
y.ff,5178,32
HT.22,8092,28
ian,6843,28
guiggs,6740,28
⚔️ROGÉRIO⚔️,8504,26
xadventurer,7256,26
Ney Bichão,7433,20
☣️GG-REAL☢️,7836,18
LFC,7034,18
carril,7545,16
Gervasio,8145,10
veneno,7844,10
r.a.f.a.e.lgd,6118,10
BalaNoAlvaro,6800,8
Aspira,6717,8
EZÓDIA,9291,0
Fábio,8628,0
REAL GP7 ¥,8154,0
john snow,8096,0
Space,8060,0
James,7794,0
Ester,7537,0
Cleyton_404,7422,0
vitor,7402,0
DESMONTROIVDD,7269,0
alan_444,7177,0
MarquinhoS,7157,0
Newson,7100,0
Safe,7069,0
lipe souza,6602,0
quellmita65,6529,0
lana,6505,0
Cattermol II,6359,0
perdido,5882,0
abertosauro,5593,0
jean,5271,0
chora bb,5246,0
Turbo,5164,0
